"","refshort","patch_type","diversity_index","q_order","diversity_value","sd","n_pairs","habitat_amount","number_patches"
"116","Bragagnolo_2007","fragmented","alpha","q = 2",2.07887514337763,0.184093370410997,6,43.88635,73
"117","Bragagnolo_2007","fragmented","gamma","q = 0",7.98957413535546,1.18916883850235,6,43.88635,73
"118","Bragagnolo_2007","fragmented","gamma","q = 2",2.26087558436946,0.189583645466456,6,43.88635,73
"119","Bragagnolo_2007","fragmented","beta","q = 0",1.55189024924284,0.226222386268575,6,43.88635,73
"120","Bragagnolo_2007","fragmented","beta","q = 2",1.08754755742384,0.145305804113118,6,43.88635,73
"121","Cayuela_2006","continuous","alpha","q = 0",34.3258093733177,14.6151442920675,7,66.3528,50
"122","Cayuela_2006","continuous","alpha","q = 2",10.3298673200708,6.38326724613624,7,66.3528,50
"123","Cayuela_2006","continuous","gamma","q = 0",60.0442268658744,25.5770252833484,7,66.3528,50
"124","Cayuela_2006","continuous","gamma","q = 2",14.5770138336835,8.71715397654344,7,66.3528,50
"125","Cayuela_2006","continuous","beta","q = 0",1.74924431388785,0.668107409104426,7,66.3528,50
"126","Cayuela_2006","continuous","beta","q = 2",1.41115208763239,0.508543424267097,7,66.3528,50
"127","Cayuela_2006","fragmented","alpha","q = 0",32.5773662456283,12.1777198957112,4,65.20295,51
"128","Cayuela_2006","fragmented","alpha","q = 2",10.2505420396671,3.5779965066686,4,65.20295,51
"129","Cayuela_2006","fragmented","gamma","q = 0",55.9478252569436,22.8955319549001,4,65.20295,51
"130","Cayuela_2006","fragmented","gamma","q = 2",16.2619608136335,5.81566913142986,4,65.20295,51
"131","Cayuela_2006","fragmented","beta","q = 0",1.71738331561568,0.183767781013277,4,65.20295,51
"132","Cayuela_2006","fragmented","beta","q = 2",1.58644886784559,0.318404146951375,4,65.20295,51
"133","Chiarello_1999","continuous","alpha","q = 0",9.47536590279995,0.523658688291002,1,94.2573,17
"134","Chiarello_1999","continuous","alpha","q = 2",4.41180427172266,1.11330992179886,1,94.2573,17
"135","Chiarello_1999","continuous","gamma","q = 0",11.9379769496945,0,1,94.2573,17
"136","Chiarello_1999","continuous","gamma","q = 2",4.77011202437242,0,1,94.2573,17
"137","Chiarello_1999","continuous","beta","q = 0",1.25989614249798,0,1,94.2573,17
"138","Chiarello_1999","continuous","beta","q = 2",1.0812156955707,0,1,94.2573,17
"139","Chiarello_1999","fragmented","alpha","q = 0",9.99130017299273,0.500484970226623,2,91.29295,7
"140","Chiarello_1999","fragmented","alpha","q = 2",3.0247214234716,0.648732361473395,2,91.29295,7
"141","Chiarello_1999","fragmented","gamma","q = 0",14.0350152233602,0.0495190037654793,2,91.29295,7
"142","Chiarello_1999","fragmented","gamma","q = 2",3.12128213447268,0.732018523835514,2,91.29295,7
"143","Chiarello_1999","fragmented","beta","q = 0",1.40472360757391,0.0578182018809061,2,91.29295,7
"144","Chiarello_1999","fragmented","beta","q = 2",1.03192383610992,0.107606013146878,2,91.29295,7
"145","Develey_2004","continuous","alpha","q = 0",45.3047582456218,3.38530625164822,3,67.04645,27.5
"146","Develey_2004","continuous","alpha","q = 2",28.3328329850905,3.02927508950675,3,67.04645,27.5
"147","Develey_2004","continuous","gamma","q = 0",68.3859458091646,2.57010226860187,3,67.04645,27.5
"148","Develey_2004","continuous","gamma","q = 2",34.9356677154682,2.64456325844139,3,67.04645,27.5
"149","Develey_2004","continuous","beta","q = 0",1.50946497580689,0.082771650719489,3,67.04645,27.5
"150","Develey_2004","continuous","beta","q = 2",1.23304534120722,0.0424368783444905,3,67.04645,27.5
"151","Develey_2004","fragmented","alpha","q = 0",39.2598978748155,3.95736445716029,13,38.6031,72
"152","Develey_2004","fragmented","alpha","q = 2",24.538701448429,2.82450029567999,13,38.6031,72
"153","Develey_2004","fragmented","gamma","q = 0",54.4547197427282,7.51477783705358,13,38.6031,72
"154","Develey_2004","fragmented","gamma","q = 2",29.3387369185407,3.74898927815062,13,38.6031,72
