"","refshort","patch_type","diversity_index","diversity_value"
"289","Pinho_2019f","continuous","gamma_2_q0",107.1699673975
"290","Pinho_2019f","continuous","gamma_2_q2",59.3904622533096
"291","Raheem_2009","continuous","alphaC",5.11541103394697
"292","Raheem_2009","continuous","alphaC2",3.83065457704697
"293","Raheem_2009","continuous","beta_C",1.64924370426702
"294","Raheem_2009","fragmented","alphaC",4.48010274443719
"295","Raheem_2009","fragmented","alphaC2",3.36399891571757
"296","Raheem_2009","fragmented","beta_C",1.70816096760367
"297","Raheem_2009","fragmented","gamma_2_q0",11.8874295782813
"298","Raheem_2009","fragmented","gamma_2_q2",5.75453324698228
"299","Raheem_2009","continuous","gamma_2_q0",12.6904364067955
"300","Raheem_2009","continuous","gamma_2_q2",6.5782242899032
"301","Rocha_2016","continuous","alphaC",23.1817146781742
"302","Rocha_2016","continuous","alphaC2",6.88104667933633
"303","Rocha_2016","continuous","beta_C",1.00150230178406
"304","Rocha_2016","fragmented","alphaC",16.6714544019917
"305","Rocha_2016","fragmented","alphaC2",3.07782002842104
"306","Rocha_2016","fragmented","beta_C",1.08668457928515
"307","Rocha_2016","fragmented","gamma_2_q0",21.3255671991108
"308","Rocha_2016","fragmented","gamma_2_q2",3.08699959782907
"309","Rocha_2016","continuous","gamma_2_q0",23.347823376392
"310","Rocha_2016","continuous","gamma_2_q2",6.90288801441471
"311","Safar_2022a","continuous","alphaC",4.56949652311817
"312","Safar_2022a","continuous","alphaC2",4.46423509927599
"313","Safar_2022a","continuous","beta_C",1.11033255409306
"314","Safar_2022a","fragmented","alphaC",1.72011801833873
"315","Safar_2022a","fragmented","alphaC2",1.69854659439565
"316","Safar_2022a","fragmented","beta_C",1.16519642381661
"317","Safar_2022a","fragmented","gamma_2_q0",2.12718634709164
"318","Safar_2022a","fragmented","gamma_2_q2",2.07984394365842
"319","Safar_2022a","continuous","gamma_2_q0",5.46601880986793
"320","Safar_2022a","continuous","gamma_2_q2",5.25110542289577
"321","Silva_2022","continuous","alphaC",2.60098006577147
"322","Silva_2022","continuous","alphaC2",2.21073603524594
"323","Silva_2022","continuous","beta_C",1.04799341701261
"324","Silva_2022","fragmented","alphaC",3.18136035949719
"325","Silva_2022","fragmented","alphaC2",2.86247297979322
"326","Silva_2022","fragmented","beta_C",1.13733660037635
"327","Silva_2022","fragmented","gamma_2_q0",5.28157773662609
"328","Silva_2022","fragmented","gamma_2_q2",3.99609689236923
"329","Silva_2022","continuous","gamma_2_q0",4.74419208523934
"330","Silva_2022","continuous","gamma_2_q2",3.38799988945585
"331","Soto_2022","continuous","alphaC",2.83729214053997
"332","Soto_2022","continuous","alphaC2",2.46292055399693
"333","Soto_2022","continuous","beta_C",1.42358283233618
"334","Soto_2022","fragmented","alphaC",2.40066291639638
"335","Soto_2022","fragmented","alphaC2",2.11318708897617
"336","Soto_2022","fragmented","beta_C",1.44731529989858
"337","Soto_2022","fragmented","gamma_2_q0",5.51721612648747
"338","Soto_2022","fragmented","gamma_2_q2",4.00720852058303
"339","Soto_2022","continuous","gamma_2_q0",6.8374650460966
"340","Soto_2022","continuous","gamma_2_q2",4.94213753677629
"341","Struebig_2008","continuous","alphaC",10.1198547213052
"342","Struebig_2008","continuous","alphaC2",6.26799336102386
"343","Struebig_2008","continuous","beta_C",1.30933583925683
"344","Struebig_2008","fragmented","alphaC",9.0337949153006
"345","Struebig_2008","fragmented","alphaC2",5.53481608080075
"346","Struebig_2008","fragmented","beta_C",1.46967426434488
"347","Struebig_2008","fragmented","gamma_2_q0",15.8477265331161
"348","Struebig_2008","fragmented","gamma_2_q2",8.25508565676845
"349","Struebig_2008","continuous","gamma_2_q0",15.5491773231272
"350","Struebig_2008","continuous","gamma_2_q2",8.60913540300415
"351","Uehara_Prado_2007","continuous","alphaC",36.5753716834569
"352","Uehara_Prado_2007","continuous","alphaC2",7.36441768682412
"353","Uehara_Prado_2007","continuous","beta_C",1.0641310426428
"354","Uehara_Prado_2007","fragmented","alphaC",27.944852448796
"355","Uehara_Prado_2007","fragmented","alphaC2",7.42741903238079
"356","Uehara_Prado_2007","fragmented","beta_C",1.12629989884744
"357","Uehara_Prado_2007","fragmented","gamma_2_q0",44.7252805260412
"358","Uehara_Prado_2007","fragmented","gamma_2_q2",8.15794637431841
"359","Uehara_Prado_2007","continuous","gamma_2_q0",48.011416581824
