refshort,taxon,fragment_id,plot_id,fragment_plot_comb,fragment_area,patch_type,latitude,longitude,control_cont_frag,sampling_design,sampling_effort,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
Pinho_2019f,Plantae,Una_IIICO21,IIICO21,Una_IIICO21_IIICO21,2000,continuous,-15.16451696,-39.05711713,yes,standardized_subsamples,NA,1400,613.5316,97.2428,1,0.1585,0,0,13.289,97.2428,0.0032,0
Pinho_2019f,Plantae,Una_IIICO21,IIICO21,Una_IIICO21_IIICO21,2000,continuous,-15.16451696,-39.05711713,yes,standardized_subsamples,NA,1600,801.079,97.6062,1,0.1218,0,0,11.5062,97.6062,0.0028,0
Pinho_2019f,Plantae,Una_IIICO21,IIICO21,Una_IIICO21_IIICO21,2000,continuous,-15.16451696,-39.05711713,yes,standardized_subsamples,NA,1800,1014.7635,97.9041,1,0.0965,0,0,10.5302,97.9041,0.0025,0
Pinho_2019f,Plantae,Una_IIICO21,IIICO21,Una_IIICO21_IIICO21,2000,continuous,-15.16451696,-39.05711713,yes,standardized_subsamples,NA,2000,1249.3059,97.8578,1,0.0783,0,0,10.9688,97.8578,0.0023,0
Pinho_2019f,Plantae,Una_IIIFR11,IIIFR11,Una_IIIFR11_IIIFR11,200,fragmented,-15.17864193,-39.03486216,yes,standardized_subsamples,NA,200,5.3659,76.0736,2,14.1772,106.0712,93.3333,81.33,74.2331,0.0549,0.5604
Pinho_2019f,Plantae,Una_IIIFR11,IIIFR11,Una_IIIFR11_IIIFR11,200,fragmented,-15.17864193,-39.03486216,yes,standardized_subsamples,NA,400,19.8625,73.913,2,3.7212,83.2091,91.4286,83.7479,73.43,0.0538,0.5698
Pinho_2019f,Plantae,Una_IIIFR11,IIIFR11,Una_IIIFR11_IIIFR11,200,fragmented,-15.17864193,-39.03486216,yes,standardized_subsamples,NA,600,27.0892,67.9942,3,2.51,71.5914,89.0969,100.917,67.7046,0.0817,0.3755
Pinho_2019f,Plantae,Una_IIIFR11,IIIFR11,Una_IIIFR11_IIIFR11,200,fragmented,-15.17864193,-39.03486216,yes,standardized_subsamples,NA,800,14.1331,67.619,10,4.7844,72.184,89.6075,94.1636,64.058,0.0785,0.3822
Pinho_2019f,Plantae,Una_IIIFR11,IIIFR11,Una_IIIFR11_IIIFR11,200,fragmented,-15.17864193,-39.03486216,yes,standardized_subsamples,NA,1000,24.8486,68.9987,9,2.7768,68.3371,90.2685,89.132,68.4913,0.0999,0.2426
Pinho_2019f,Plantae,Una_IIIFR11,IIIFR11,Una_IIIFR11_IIIFR11,200,fragmented,-15.17864193,-39.03486216,yes,standardized_subsamples,NA,1200,21.6541,69.9143,15,3.2287,65.6647,91.3856,81.1168,67.921,0.0952,0.2701
Pinho_2019f,Plantae,Una_IIIFR11,IIIFR11,Una_IIIFR11_IIIFR11,200,fragmented,-15.17864193,-39.03486216,yes,standardized_subsamples,NA,1400,18.3119,69.7719,24,3.8102,70.3796,91.9904,75.8487,67.4911,0.0979,0.2469
Pinho_2019f,Plantae,Una_IIIFR11,IIIFR11,Una_IIIFR11_IIIFR11,200,fragmented,-15.17864193,-39.03486216,yes,standardized_subsamples,NA,1600,27.1364,72.6488,22,2.6772,64.9159,92.1271,74.3917,68.6677,0.0936,0.2893
Pinho_2019f,Plantae,Una_IIIFR11,IIIFR11,Una_IIIFR11_IIIFR11,200,fragmented,-15.17864193,-39.03486216,yes,standardized_subsamples,NA,1800,40.0107,77.1593,20,1.9285,64.0528,93.4696,65.1583,72.1355,0.0971,0.2651
Pinho_2019f,Plantae,Una_IIIFR11,IIIFR11,Una_IIIFR11_IIIFR11,200,fragmented,-15.17864193,-39.03486216,yes,standardized_subsamples,NA,2000,54.3424,80.8485,19,1.4878,64.3273,94.666,56.1385,79.9539,0.1014,0.2328
Pinho_2019f,Plantae,Una_IIIFR21,IIIFR21,Una_IIIFR21_IIIFR21,200,fragmented,-15.15039799,-39.0749371,yes,standardized_subsamples,NA,200,13.9341,98.773,1,7.0886,0,0,8.3415,98.773,0.0118,0
Pinho_2019f,Plantae,Una_IIIFR21,IIIFR21,Una_IIIFR21_IIIFR21,200,fragmented,-15.15039799,-39.0749371,yes,standardized_subsamples,NA,400,52.7937,98.2287,1,1.8606,0,0,13.1369,98.2287,0.0074,0
Pinho_2019f,Plantae,Una_IIIFR21,IIIFR21,Una_IIIFR21_IIIFR21,200,fragmented,-15.15039799,-39.0749371,yes,standardized_subsamples,NA,600,114.5882,95.8032,1,0.8361,0,0,26.8097,95.8032,0.0067,0
Pinho_2019f,Plantae,Una_IIIFR21,IIIFR21,Una_IIIFR21_IIIFR21,200,fragmented,-15.15039799,-39.0749371,yes,standardized_subsamples,NA,800,195.3366,93.4189,1,0.4782,0,0,37.5654,93.4189,0.0071,0
Pinho_2019f,Plantae,Una_IIIFR21,IIIFR21,Una_IIIFR21_IIIFR21,200,fragmented,-15.15039799,-39.0749371,yes,standardized_subsamples,NA,1000,307.5015,94.8225,1,0.3084,0,0,30.9346,94.8225,0.0059,0
Pinho_2019f,Plantae,Una_IIIFR21,IIIFR21,Una_IIIFR21_IIIFR21,200,fragmented,-15.15039799,-39.0749371,yes,standardized_subsamples,NA,1200,446.5825,96.0894,1,0.2152,0,0,23.4841,96.0894,0.0046,0
Pinho_2019f,Plantae,Una_IIIFR21,IIIFR21,Una_IIIFR21_IIIFR21,200,fragmented,-15.15039799,-39.0749371,yes,standardized_subsamples,NA,1400,610.0698,96.8802,1,0.1588,0,0,18.8739,96.8802,0.0038,0
Pinho_2019f,Plantae,Una_IIIFR21,IIIFR21,Una_IIIFR21_IIIFR21,200,fragmented,-15.15039799,-39.0749371,yes,standardized_subsamples,NA,1600,796.4054,96.8938,1,0.1217,0,0,17.6813,96.8938,0.0034,0
Pinho_2019f,Plantae,Una_IIIFR21,IIIFR21,Una_IIIFR21_IIIFR21,200,fragmented,-15.15039799,-39.0749371,yes,standardized_subsamples,NA,1800,497.8616,96.019,2,0.1929,58.8377,98.333,20.681,95.9189,0.0272,0.7775
